Index,Time,GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,H,R,P
156,1459120921,-0.785065,-0.568237,7.14783,-0.113098,-0.169495,0.987793,-0.1722,0.2163,-0.12754,248.817,-7.12831,5.74356
157,1459120921,0.396271,-0.261688,5.62256,-0.108337,-0.0791016,1.01178,-0.1897,0.18998,-0.09716,249.789,-6.85944,5.78099
158,1459120922,-0.284119,-1.48788,5.0618,-0.0842896,-0.136047,0.99231,-0.16772,0.23324,-0.12754,250.668,-6.95405,5.68883
159,1459120922,4.3515,1.85425,4.80759,-0.171265,-0.187195,1.0329,-0.16632,0.22666,-0.1617,251.516,-7.29967,6.07678
160,1459120922,0.605621,1.6748,4.94965,-0.110413,-0.0963745,1.02783,-0.16002,0.20804,-0.16996,252.312,-7.10106,6.08238
161,1459120922,-1.33087,-0.291595,4.48608,-0.0910034,-0.107666,1.00391,-0.1561,0.23562,-0.17402,253.081,-7.0031,5.99209
162,1459120922,-0.613098,-2.72156,4.53094,-0.0747681,-0.128601,0.974365,-0.16898,0.23128,-0.17248,253.888,-7.05342,5.83607
163,1459120923,0.403748,0.433655,6.79642,-0.123474,-0.16925,1.00342,-0.18144,0.22834,-0.15036,254.729,-7.30782,5.95465
164,1459120923,-1.15891,-0.994415,4.26178,-0.101562,-0.0855103,0.982849,-0.1617,0.25074,-0.09506,255.467,-7.0788,5.94924
165,1459120923,-0.5159,-1.48041,4.24683,-0.083252,-0.132141,0.987732,-0.16198,0.26236,-0.17304,256.187,-7.13246,5.83735
166,1459120923,2.57202,-1.55518,4.71786,-0.109314,-0.161438,1.01282,-0.16072,0.24304,-0.09646,256.881,-7.3284,5.8701
167,1459120923,-0.343933,0.00747681,5.36835,-0.11792,-0.149048,1.00745,-0.13986,0.2905,-0.16534,257.467,-7.43824,5.95144
168,1459120924,-0.590668,-1.01685,5.78705,-0.0968018,-0.114929,0.994629,-0.15148,0.29652,-0.16058,258.082,-7.35406,5.91237
169,1459120924,0.687866,-2.13837,4.88235,-0.0848999,-0.135315,0.985779,-0.1883,0.27384,-0.15918,258.83,-7.39974,5.81471
170,1459120924,0.224304,0.366364,6.04126,-0.111572,-0.178345,0.996094,-0.16856,0.26824,-0.09548,259.477,-7.67622,5.87232
